original_response_(S1),predicted_response_(S2),Grammatically_correctness_of_S2 (scale 1-5),Similarity_between_S1_and_S2_in_terms_of_meaning_and_provided_info (scale 1-5)
i think that maybe he did initially i did n't think so but he has made the same mistake several times since so perhaps it was n't just bad luck on his part,they have a a chance to win the world cup,3,1
"there are a few , they all played well this year",gianluigi buffon is,1,1
is luis suarez the top goal score for the uruguay national team,i think they,2,1
lacazette was last seasons top scorer with 14 goals all competitions,i think,1,1
i think it was olivier giroud,the is the best,1,1
luis suarez,i is,1,1
"the largest stadium in iceland is laugardalsvollur that has a capacity of 15 , 000",he is,2,1
i too am a huge fan of this team,i do you think they are a good team,3,1
arsenal did not play in the world cup,"no , they have won the world cup",3,1
aron gunnarsson,the captain is the captain,1,1
"no it wasnt , he wasnt alive when they lost 10 0",who is is the best player \?,5,1
i think he plays uefa,the,1,1
i do n't know do you think it 's cristiano 's fault \?,they have won the world,3,1
iceland will dominate all next year !,i think they have a good,3,1
he is 29 years old,he is,2,1
is susedera hotra bes a player for portugal \?,i think the,2,1
2,they have won the world,3,1
currently it 's ivan perisic,i is the,1,1
higher,"i think , they",2,1
they have a possibility of winning the league,i is is the best,1,1
"no , portugal has improved and i'm sure they will never allow a loss like that to happen again","yes , they have a",1,1
now at days they are the number 4 at fifa ranking,i is the,1,1
"no , they will not win the league",i think they will be a good,1,1
"portugal 's biggest loss was 10 0 to england may 25th , 1947 in lisbon , portugal",the is the best,1,1
me too,i think is the best,1,1
croatia has modric one of the best players in the world cup,"yes , they have a good",3,1
they dont have one,i is the,1,1
liverpool released 8 players recently,"yes , they",2,1
red is the color,they,1,1
they play in green and white very stylish \),i think,1,1
they are placed 23 rd,i is,1,1
sadio mane,i think is the best,1,1
yes i think bayern may win it this season,"yes , they have a",2,1
aliou cisse is the coach,maurizio sarri is the manager,3,1
"no , they have never won any","yes , they have a",2,1
that would be thomas jefferson,i think,1,1
"yes , they are known for their winning","yes , they have a",2,1
the best player in senegal is hadji diouf,i is,1,1
manuel neuer has been with bayern munich since 2011,he is a great player,3,1
"no , i was n't because they are a very strong team","no , they have a chance",3,1
ballspielverein borussia 09 e v dortmund,i think,1,1
yeah me too,i is is a good team,1,1
i am not totally sure but i will give it thought,i think the the best,1,1
do you think he will do well in the champs league \?,he is is the best,2,1
if i am in agreement with you,i do n't think they will be a good,3,1
what do you think of shaqiri,i think is the,1,1
"yes , his best player is marco reus",i is is the best,1,1
"loads , bvb dortmund represent many nations and backgrounds",i think is the,1,1
"i agree , they are a good team , however , the competition may be stronger",i think is the the best,1,1
"on 6 july 2018 , buffon signed a one year contract , with the option for a second year , with paris saint germain",i think they are a the the team,2,1
"only 11 of the 29 players in dortmund 's first team are german , which is one of the lowest ratios in the bundesliga",i think they will be the,2,1
i think they are average,"yes , they are a",2,1
yeah they did,"yes , they have a",2,1
"if he is a good player , he had an injury that complicated him but he was one of the best strikers in the world","yes , he is",2,1
"yes it is , of course","yes , they is the",1,1
hahaha ! italy will surprise everyone in the next world cup in qatar,"yes , they",2,1
radamel falcao is the captain of colombia,the is the best player,2,1
they are a solid european side but not the best,i is is a team,1,1
arsenal when they travel down south,the,1,1
the best player in juventus is ronaldo christian the best in the world,i think is the best,1,1
they are always competitive so yeah !,i think they have a the the world cup,1,1
will rise from 16th place colombia \?,he is a great player,5,1
paulo dybala is a very strong player on juventus he might be number 2 after ronaldo but he could also be number 1,i think is the,1,1
bvb dortmund by far,i think,1,1
how much money did he cost juventus \?,i think is a team,1,1
"yes , their coach was jose mourinho at that time","yes , they have a",2,1
which club did hummels play before bvb dortmund \?,i is is the best,1,1
"that is f c porto 's stadium , barcelona is camp nou",i think is the best,1,1
what teams has cristiano ronaldo played for \?,they are a very good team,2,1
i am not sure,i think is a,1,1
now their best player is cristiano ronaldo,i think is the best player,2,2
i agree with hummels,i think,1,1
estadio do dragao,diego simeone,4,1
sokratis,i is is the the best,1,1
ac milan had co founders,ac milan has won the world cup,1,1
he is n't that old,he is the,2,1
you mean top goal scorers \?,i think,1,1
"december 16 , 1899",they won,4,1
twice,they have won the,4,1
i 'd say vana,i,1,1
they have a very good reputation,i think is the,1,1
thierry henry has scored 51 goals,the is the best player,1,1
unai emery,i is,1,1
seems like they did do that indeed,they have won the world cup,5,1
no he is not anymore,i is is the,1,1
france scored 4 goals in the world cup,the is the,1,1
well during the world cup 2 64 goals were scored per game,they are,2,1
wenger left at the end of the 2017 18 season unai emery is the manager now,i think they,2,1
"debatable , ever since ronaldo 's transfer to serie a , making it harder for ac milan",i think they,2,1
who is their current manager \?,i do you think they are a good \?,4,1
last season 20 12,they have,2,1
now that ronaldo has joined them,i do n't think they will win the world cup,5,1
"dortmund , is a german sports club based in dortmund , north rhine westphali \?",i think they will be,1,1
hmm i 've seen some game there better than some sex and i 've had sex that was better than some games,i is is the best,1,1
they are named after the royal arsenal at woolwich,the is the best,1,1
juventus will be really good this season,"yes , they have a good",3,2
if the fultbol is better than everything,i is is the best,1,1
son ingreibles bvb dortmund,i think,3,1
american football or proper football \?,i think is the best,2,1
cristiano ronald and juventus are still favored,i think they they will be,2,1
search it up and see,i think is a,1,1
who is dortmund 's head coach \?,i think is the,1,1
i do not like boxing i prefer soccer,i think they will win the,4,1
does anyone watch boxing,"yes , they are the best",5,1
they play in westfalenstadion stadium in germany,i think,3,1
what native american language was super bowl xxx the first to be broadcast in \? a navaj,i do you think they will win the world cup \?,2,1
they got some noisy fans,"yes , they have",5,1
nigeria still has to win,"yes , they have a",3,1
i feel that if they are a bit of a contender in the next world cup,i think they have a a chance,2,1
palace fans are definitely way better than chelsea because they are more loyal fans despite not being as noisy,i think is a good,2,1
have nigeria ever won the world cup \?,he is a good,2,1
about four years,they have,3,1
who is the most underrated player for nigeria \?,he is a good,3,1
chelsea fans are quite noisy when they are in their stadium,i do n't think they will win,3,1
the name of the coach is gernot rohr,i is is the the coach,1,1
nigeria is a great team too,they are a good,3,1
he is a very valuable player,"no , they have a chance",3,1
"yes , one of his position 's is forward",i is is the best,1,1
"at the moment , ahmed mousa",i think is the best player,3,1
"i am a bot , ca n't see matches","yes , they have a",3,1
this is true because argentina are a great team but nigeria are not to be underestimated,"yes , they",2,1
what colour is their strip \?,i think is the,1,1
honestly there captain is definitely there best player in my opinion,i is is the best player,1,1
i agree,i is is the the best,1,1
"yes , they are all time best in their league",i think is the best,1,1
senegal jersey is green,they won,5,1
"it is a shame , feel this was their time and now it 's over",i think they will win the,3,1
the best of the porto is iker casillas,i is the,1,1
the best player currently in real madrid is modric,i is is the best player,1,2
they are a better club not by a lot but they are better,i think they will be a good,3,1
i really like porto,i think they,2,1
they have toni kroos now,he is a good,3,1
do you like the bull logo \?,i think,2,1
i thought they were a blast african football has so much speed european clubs seem slow by comparison sometimes,"yes , they have a",3,1
the best player of all time has been voted ronoaldo,i is is the best,1,1
"they are great fun to watch and have some great supporters , bit feel they are just another qualify and go out early team",i think they,2,1
sadio mane,i think,2,1
i'm not really a fan,i think they are a good,3,1
i believe their record was 3 3 7 been nice chatting with you take care !,i think a great,1,1
it was great talking to you too,"i think , they have a great",2,2
i bet they make it out of the group stage,i think the,1,1
yes,what do you think \?,5,1
there was a marriage proposal during a malta england match on 09 01 2017,"yes , they have a good",3,1
the last match i watched was japan against poland,they have won the world,4,1
if spain has a good team but they do not have a good manager to go far with !,they have the the the the world cup,3,1
hannes halldorsson was the best in my opinion not many people could save a penalty against messi,i think,1,1
2 years from the victory,i think,1,1
spain won its only fifa world cup in 2010,they have won the world cup,5,2
what are spain 's colours \?,they have a the the the,1,1
they have a new coach because the players lost confidence in the old one but the team is n't all that changed from the one that won the league 2 years ago,i think they,3,1
spain will come back full force next time,"no , they have a",3,1
"no , i think it 'll be croatia","no , they have a chance",3,1
i'm keeping an eye on chelsea this season ! i think they have a lot to prove,i think they will be a good,3,1
how much does it cost to see t hem \?,i do you think they,1,1
they should not make good fire can get higher,i think is the best,1,1
which part of africa are they located in \?,i think is the best,1,1
i do n't like any of the players on the argentina team,i think,1,1
he is the forward,he is,2,1
"they need a player like bruno metsu , again !",i think they,2,1
i have never encountered that game,i think they,2,1
angel correa is number 10,diego simeone,5,1
"yes , they do a great job",they think they have a chance,3,1
diego simeone,diego simeone,5,5
probably gudjohnsen,he is the best player,5,1
i think he is going to retire soon from argentina to focus more on his club career,i think the,2,1
it was founded on the 26 april 1903,i think,1,1
les lions de la teranga \( the lions of teranga \),sergio ramos,5,1
wikipedia shows that eidur gudjohnsen is the iceland top goalscorer of all time he scored 26 goals,the is the best,1,1
"atletico madrid is a newer team , but they have a lot of potential",i think they are a,3,1
"they seem to be very inconsistent , even though they have incredible players like aguero and dybala",i think they,2,1
no they did n't,they have the the the world cup,3,1
he is irreplaceable,i think is a good,1,1
sure they can,"no , they have a",2,1
he will be missed but it is a team sport so i am sure they will do just fine,what is a team \?,2,1
f c porto is a club and italy is a team,i think they will be,2,1
ac milan is worth millions,the captain,1,1
i hope so,i think they have a good,3,1
i definitely think so,i think,1,1
fc porto flag is what color \?,i think the the best,1,1
"it is a club , besides , it is the biggest in the world i do not think he retires",i think they,2,1
yeah i agree,what is the team \?,1,1
that is correct i agree with it,i think is the best,1,1
"my favorite is modric he 's one of the world 's best , almost as good as ronaldo",the is the best player,1,1
"i think they would beat everyone else , haha",i think they,2,1
probably going to lose a lot more,i think,1,1
"i'm not sure but is it hernani jorge santos fortes , maybe \?",i is,1,1
giroud will be the most prominent striker,the is the best player,1,1
"yes , they are supported by their home fans they are called portistas","no , i think",2,1
france have great superior strategies,i think they will be a good,3,1
yes they will,i think they will be a,3,1
peru 3 1 croatia 2 1 nigeria 2 0,they have,2,1
"i agree , the porto has a rival team and is sporting","yes , i think",2,1
"croatia , peru and nigeria beat iceland",i think they,3,1
they have a very good chance seeing as they won the world cup,i think they will be a good,3,2
they have 28 major trophies,"yes , i think they",3,1
always the porto is a team to beat,i think is the best,1,1
i do n't think they 'll go far,i think they will be a good,3,1
1923,they won the,3,1
they have a strong and proven history,"yes , they have a good",3,1
ca n't agree more !,i think is the best,1,1
only if you want to lose !,i think is the the best,2,1
the iceland team is fierce this year,i think they,1,1
chelsea is the best team in london,i is is the,1,1
"i'm not sure i do n't really follow argentina , just spain and england",i think a,1,1
do you think manchester united would win against real madrid \?,they have a a chance,3,1
where is chelsea located \?,i think is the best,1,1
poor coaching and they do n't seem prepared,i think the,1,1
"yes , france plays too well to counteract everything",i think they are the the best,2,1
they 'll definitely beat any us team,i think they,2,1
a trophy is not a strength what attributes do the players or team have that have gotten them the trophies \?,i do you think they will win the world cup \?,3,2
most of there team is terrible too many to choose from,i think,1,1
do you think that they will win against the us \?,what is the team \?,1,1
"they won the championship , so maybe they should keep their same gameplan",i think they,2,1
england advanced further than spain in the world cup,i think the,1,1
when was the last time manchester united played the usa \?,they,1,1
england !,i think they,1,1
"yes , from 2003 2009",i think they,1,1
"no , france plays too much of a countering game",i do n't think they have a good,2,1
will mbape move to real madrid \?,i think they are a good,3,1
luis enrique,i think they,1,1
"in my opinion , 4 8",i think,1,1
"i watched their last game , they can do better","yes , they",2,1
i do not believe the current coach has what it takes to bridge the gap between himself and the players,i think is the,1,1
player one the gamers who only want to play with themselves,i think,1,1
he is alright,he is a,2,1
no spain needs more coherence between the coach and the players,i think they,2,1
worst jordi alba \( spain \) was voted,i is,1,1
arturo vidal and douglas costa,i think,1,1
of all time \? david villa,neymar is the captain,3,1
improving the counter attack and firing more to the area,i think they will be a good,3,1
they have a new coach but they also sold important players,they are a good,3,1
they are definitely an active team,i think,1,1
messi,i is,1,1
spain need to get their act together,i think they,2,1
oh yes please,they are the,2,1
whilst they could this might make previous year contenders frustrated and thus be unpopular,i think will be the a good,1,1
i have n't watched the last game,i think the,1,1
with the squad they currently have they have every chance of winnng,"yes , they have a",2,1
they will probably use him more,"yes , they have a good",3,1
"i agree , iceland is always an underdog and it sometimes hurts their mentality",i think they will be a good,3,1
"yes , they are one of the top teams",i is is the best,1,2
"the best current team in recent memory has been real madrid but i believe with madrid selling ronaldo , it 'll give fc barcelona a chance",i is is the,1,1
"in my opinion , not very well",i think is the best,1,1
i think the best club is barcelona,i think is a good team,1,2
i think he will keep playing at least for another decade,"yes , he is",1,1
valverde,the is the coach,1,1
"yes , with the heart they showed in 2018 , i think they will","yes , they have a good",3,1
lionel messi is the best,i is is the best,1,2
10 years ago,"yes , they",2,1
what is the best club in your opinion \?,i do you think they are a good team \?,1,2
what is breathe for iceland,i think they,1,1
if they breathe it,i will do not like they do they,2,1
zidane is pretty good to handle,i think is the best,2,1
will iceland qualify for the euro \?,they will do they will win the next world cup,3,1
i think so,they have a,2,1
"i think the rest of the time is fine , they do n't need ronaldo",i think they have a,3,1
until the hour is real madrid the best team in europe,i is is the best,1,1
i think they will make a good game,i do n't think they will win the,2,1
it is luka modric,i is is the best,1,1
of course it does,"yes , they have a good",3,1
9 total,i think they are the,2,1
i think they will tie,i think is the best,2,1
world cup,they have a good,3,1
uefa champions league and uefa europa league,i think,1,1
so do i,i is is the best,1,1
the next game is on august 19 2018,i think,1,1
"the youth has very good players , but now cristiano ronaldo is the best player player",i think is the best player,1,1
i agree ! i see juventus winning the champions league and ronaldo will make history,i think will be a good,3,1
but will they win the champions league \?,i do you think they,1,1
milan is the best team in the italian league,i think they,2,1
will juventus lose any games in the coming season \?,i do not like the world cup,3,1
seven goals in one match is a big target,i will do n't think they will win the world cup,3,1
"yes , he 's one of the best players in the world",i think they will be a good,3,1
"he is getting old , am not sure about that",they will have the,2,1
angel di maria,the is the best player,2,1
"yes i agree , especially with the recent transfers",they are the the,2,1
yeah ronaldo will do great things for juventus,i think they,3,1
two times,they won the world cup,3,2
ronaldo just transfered there,"yes , they is a",1,1
"many times , they are an elite team",they have won the world cup,3,1
"yes , juventus acquired an amazing player this year by the name of cristiano ronaldo",i think they,2,1
have n't ever heard of them,i do you think they are a good team,1,1
maybe favre,the is the the best,1,1
"yes , they have very good team",i think they are the the best,1,1
it could happen in the year 2096,they have a,2,1
"yes , i agree there 's a chance",he is the best,3,1
they will win in future,i is is the best,1,1
yes i think the rebuilding process will get better,i think is the best,1,1
it will be but not this year,what is the team \?,3,1
may be,"yes , they",2,1
"yes , bayern are very strong though",i think a good,3,1
agreed it would be a great struggle but i believe they can do it,i think is the the best,1,1
15 reasons why iceland is the most fascinating country on the planet,they won the the world cup,3,1
but not good enough to compete with bayern,i think they will win the,3,1
a team that is being rebuilt needs time,i think they,2,1
very good team,i think they will be a good,3,3
did iceland place 15th last year overall \?,they are a good,3,1
why did they not qualify for the world cup \?,i think they,2,1
utilize current roster with the right formations and tactics,i think they,2,1
most popular player is probably ronaldo or messi as they are the 2 biggest stars in football right now,i think the best,3,1
correct,i think they,3,1
i think karim benzema,i is,1,1
this is absolutely one of my favorite team,i think they,3,1
they will came back again \?,what do you think \?,3,1
i do believe the defence from real madrid is one of the best in the entire world of football,i think is the,2,1
it 's certainly harder in that every decision they make on the pitch is reviewed by multiple cameras that see way more than they possibly can,i think they will be a good,3,1
"yes , he does",i think,1,1
but they have fallen away a bit recently,i think they,2,1
"yes , twice in 1978 and in 1986","yes , they have a",2,1
of course it does,i think they,2,1
"yes , he is one of the famous player at brazil",he is,2,2
very good team,i think,1,1
in total 25,he has scored goals goals,3,2
very good team,they have won the world cup,5,1
"argentina had predictable routes and attacks set up for the world cup , that is why they did n't do so well this time",i think they,2,1
"because football as americans know it is more popular , so it is n't going to change it 's name for soccer","yes , he is the best",2,1
why do you get real futball confused with american football \?,i think is the,1,1
"q what year did argentina win the world cup \? a argentina is one of the most successful national football teams in the world , having won 2 world cups in 1978 and 1986",i think is the,1,1
"paris saint germain defender presnel kimpembe , a member of france 's world cup winning squad , signed a two year contract extension on monday \( aug 13 \) keeping him at the club until 2023",he is a great player,3,1
jesus vallejo,i is is the best,1,1
against leganes,diego simeone,5,1
why are we talking about american football thought this about real footbul,i think they,3,1
tomorrow !,i,1,1
"no , there is to much pressure for him",they have they have a chance to win the world cup,2,1
"i heard neymar spent almost 5 minutes during a game , faking an injury to get a penalty kick",i think they,1,1
is n't he an american football player \?,i think,1,1
"nowadays , mariano diaz mejia is playing on real madrid as a forward",i think is the best,1,1
never heard of that guy,i think,1,1
me too,i do you think they are a good team \?,1,1
he plays for real madrid and spain,i think,1,1
"11 players per team , 22 in total",who is the best player in the most player for sure,2,2
neymar joined psg in 2017,he has scored a lot of the most goals,2,2
"i do n't think nigeria have much chance , as they lack quality in defence","yes , they have",2,1
always the titles of france just want to win the chanpions,they won,4,3
yes it is best african team,"yes , they are",2,1
i think belgium has quite a handful of african origin players but that of france cant be compared to theirs,i is is the the best,1,1
all of the teams in this area are excellent,i think they will be a good,2,1
yes i agree,they have a good,3,1
"i think their best players are de gea , isco , costa",i think,1,1
believe 12 or 13 squad members were from african countries,i think they,1,1
do they have what it takes to get out of the qualifying group though \?,i do not think they will win the world cup,1,1
sometimes spain will perform to win in the 2022 world cup,i think they will be the,2,1
morocco is listed higher by fifa,"yes , they have a good",3,1
sometimes these things just happen even great teams can have an off season,i think they will be the,2,1
they lost to colombia last time,"yes , they have a good",3,1
thomas lemar was probably the most important to the france squad from nigera there were a lot of france players from other african nations,"yes , they",2,1
stade leopold sedar senghor,he is a good,3,1
these are their best players cause of their experience,i think the best,1,3
"he was a defender , but is currently retired",i think is the best,1,1
spains best players have to be pique and iniesta,i think they will be the,3,1
yes he is the best striker,i is is the best,1,1
hannes halldorson,sergio ramos,5,1
who is the oldest team member on the senegal team \?,what is the the best \?,2,1
gylfi sigursson is in my opinion,i is is the best,1,1
he was only signed by them this year hope he plays 3 4 years,he has scored noteworthy goals,4,1
iceland should train their offensive players to attack more and try to take the ball more often,"they have a , they have a chance",3,2
"jeventus , porto , milan etc",i think they will be a good,3,1
italian league,i think they,2,1
"yes they are very feisty , big and strong",i think they,2,1
yes iceland did well that day,"yes , they have a",2,1
i think it 's christian ronaldo,i think,1,1
"senegal are great , the lions of teranga !",they are a good team,3,1
what 's the annual revenue of real madrid \?,i think they,2,1
1905,the,1,1
i think so ! should be alot better,i think is the,1,1
why does real madrid waste that huge amount of money when they do n't win that much \?,"no , i think",2,1
a little while back,i think the,2,1
this is not a question but i agree to that statement,i think is the best,1,1
the first one for aure,ac milan is the best player in the league,3,1
chelsea is better than everton,i think they,2,1
"real madrid is my favorite team , they 're the best team of the world they actually won the champions league for the third straight year !",i think,1,1
they went 18 10 10 last season,they won the world cup,5,1
when they grab a strong entry,i think,1,1
my favorite team is everton,i think they will be a good,3,1
very good team,they are a good,4,4
i think they 'll do great actually,they are a good,4,1
what is not to like about them \?,i think they are a good,3,1
who is your favorite player \?,i do you think they will win the world cup \?,1,1
"yes i think they will , they have the potential to do so","yes , they they have a chance",2,1
alen halilovic,i think the the best,1,1
iker casillas fernandez,the is the best,1,1
"yes , they were the best in the bundesliga during the 2017 2018 season","yes , they is a good",1,1
if they can keep the momentum going,i think they will be a good,3,1
the best team in the bayern,i think they,2,1
"well , they 're currently first in the league",i think is the,1,1
this is one of my favorite team,i think he is a,1,1
i like lewandowski because he scores lots of goals,i think they have a good,3,1
"fc porto is good , but not the best",i do n't think they have a,1,1
"yes they have very good players \( modric , rakitic , mandzukic , rebic , perisic \) it was very impressive how they got to the finals awesome team",they are a good,2,1
yes and munich hates him,he is is a good,3,1
i love the team fc porto,i think is the,1,1
very good team,gennaro gattuso,1,1
how the hell like bayern munich \?,i is is a good,1,1
porto need to spend more money,i think they are the,2,1
"it is always difficult to lose to a rival , but if you can get your team qualified for the champions league , it takes away a bit of the embarrassment","yes , they have a good",2,1
john obi mikel might be the best player,i is the,1,1
"for sure , theyll have some competition from bvb but they should pull it off",they have a good,2,1
nigeria 's main color is green,they won the,2,1
"it 's nice to see bayern munich , but i think it 's better thiago",i think they will win the,3,1
"to have an excellent team , he commits some very serious things they must improve",i do n't think they have a good,2,1
"i really liked it , the colors went well together , it was very eye catching","yes , they have a good",3,1
32,i think the,2,1
no,"yes , they",2,1
the vast majority,he has scored 0 goals,4,1
"nigeria did not win the world cup , the lost in the group stages","no , they have a",3,1
i would have to disagree with that statement paris sg is not always dynamic,i think is the best,1,1
11 outfield,i think,1,1
there are 11 players,i think,1,1
what is so good about them \?,i do you think they are a good team \?,1,2
"yes , nigeria made it to the world cup this year","no , they have won the world cup",3,2
he is in his thirtys,he is is the best player,3,1
"yes i agree , mbappe will be very good",i think is the best,1,1
they play in camp nou,the is the best,1,1
mario has dominated yeah,i is is the best player,1,1
how old is ronaldo now \?,i think is a team,1,1
"true , he 's a good guy and solid player",i think is the best,1,1
they are special because they have many talented members on their team,i is,1,1
yes i'm very excited about seeing him play,i is is a best player,1,1
why is that \?,he is is the best player,3,1
my favorite team in la liga is barcelona,i is is the,1,1
lovre kalinic is my favorite keeper,"yes , they have a",3,1
"about 6 years , i believe",he is,2,1
"yes thats correct its , la liga",i think will be a good,1,1
barcelona will win 5 tournaments,"yes , they have a a chance",3,1
they 're all great it 's hard to choose !,i is the best,1,1
"the best players are ciro immobile , mauro icardi and paulo dybala",i is is the,1,1
do you think jorginho will do well in england \?,i think they will be a good,3,1
"i think eden hazard is the best one , no doubt",i think is the best,1,1
i think chelsea will win the league this year,who is is the best player \?,3,1
it must be good to retire at 34,i think is the best,1,1
i think messi is the best player,"yes , he is a good",3,1
cristiano ronaldo,i is,1,1
mention 3 best players of chelsea,i think they,2,1
he 'll be very useful in midfield,i think he is a,1,1
"i think chelsea will go far in the europa league and maybe win it , and i think they will probably finish 3rd 4th in the league i'm disappointed with the way they sacked antonio conte , though",i think they will be a good,3,1
"he is the best in the world , i like his way of playing and i sympathize with his story",i think a team,2,1
chelsea signed jorginho from napoli,they are a,2,1
if he plays very rough,i think they,2,1
they will finish 4th it 's all scripted,i think they,2,1
they have not played a game in the premier league this season,they are the the,2,1
i don'lt like pepe on their team,i do you think they are the best,1,1
how do you think chelsea will do this season \?,i think they,2,1
keita balde diao,the is the best player,1,1
"yes , i think they will be able to qualify",they have the the the best,2,1
they are very very rich,i is,1,1
derogatory is a good player,i think,1,1
a lot of money,he is a lot of the most expensive,1,1
lukaku scored the most goals for belgium,i think the,2,1
me too,i think they,1,1
yes it is,i is is the best,1,1
yes and i like your player mane,i think they,2,1
thibaut courtois is the belgium goalkeeper,maurizio sarri,5,1
they have messi,i think,1,1
2nd placed,they were in the world cup,4,1
i believe most of them do in the off season,"yes , they",2,1
what about senegal makes you like them \?,i think is a team,3,1
i think so,"yes , he is",2,1
me too,i think they are a good,3,1
what color is barcelona 's uniform \?,i think is the best,1,1
if barcelona is the best team in the world,i is is the best,1,2
of course he does,he is is the best,2,1
neymar for sure !,what is the team \?,3,1
what is this no team talk about any subject \?,"i think , they are a good",4,1
lionel messi,i think is the best,1,1
"the brazil flag is green , yellow and blue",he is,2,1
marco verratti replaced him,i think,1,1
how can you like all of them \? you must have a favorite,i think,1,1
adenor leonardo bacchi,roberto martinez is the coach,4,1
fc barcelona for sure ! greatest team in the world,i is is the,1,1
"no , he plays for al sadd sc",i think is a good team,2,1
i think they are tied,i think,1,2
american football,i is,1,1
"yes , defenately me too",i do you think they will win the world cup \?,1,1
why,i think they are a good team,3,1
real madrid flag is what color \?,i is is the best player,1,1
about 15 years but really pulled it together in the last 5,i think they,3,1
argentina is one of the most successful national soccer \( football \) teams in the world ! !,"yes , they are",3,1
i 'd like to see croatia win since they came so close in the world cup and it would mean a lot to the fans,i think the,3,1
is he your favorite player \?,i is is the best,1,1
"i think that any idea i have is a good idea but i do n't see how that pertains to real madrid in any way , shape , or form please follow the format to make it easier for the rest of us",i think they have a good,2,2
i like ice cream with peanuts and whipped cream,i do not like the world cup,4,1
"i do not think so , he always has something to give","yes , they are a good",4,1
sergio romero is also the captain,diego godin is the captain,4,1
sergio romero,neymar is,2,1
they are trying to get eden hazard,i think a team,1,1
last in 1986,they won,2,1
"yes , messi is their best player",they are a good,2,1
no the most expensive player neymar plays for psg,i think they,1,1
i think more than 10,they won,5,1
maradona ! best footballers ever,i is is the best,1,1
more than other teams,i think they,2,1
"blue , white and red",the is the best player,2,1
how many teams are int france top league \?,i think,1,1
mbappe,i is is the best player,3,1
he scored 36 goals,he has scored goals for the world cup,4,2
is france 's biggest rival liverpool \?,they have won the world cup,4,1
"not personally , no , but as stated he is italy 's captain",i think,1,1
vincent aboubakar is the best of porto,he is a,2,1
chiellini is a defender,he is,2,1
chiellini,roberto mancini is the current coach,3,1
the colors of fc porto are blue and white,i think,1,1
i think roberto mancini,roberto martinez is the coach,2,1
primeira liga,i think,1,1
you have the power of the dragon,i think,1,1
"france may have had a fair share of luck but they also have a team of young , promising players , so they do deserve to be the champions",i think is the best,1,1
i was not sure italy had a team before this prompt,i think they are the,3,1
hirving lozano,i is is the best player,1,1
"yes , if you like their mediocre offense",i is is the best,1,1
do you think argentina will win this year \?,they have won the world cup,4,2
el tri booked their place at next summer 's world cup with a minimum of fuss and could make history by setting a new hex record points total with a win against honduras on tuesday,i is,1,1
yes in 1998,"yes , they have the",2,1
has messi ever won a world cup \?,i think is the,1,1
antoine griezmann,the is the best player,1,1
"yes , i totally agree that france deserved to win the world cup",i think they have a good,3,1
they play well i like when they touch the ball i admire the mexicans in their game,i think they,2,1
paul pogba,i think,1,1
a milan,he is the,1,1
he plays striker,he is a,1,2
they are fun to watch and i'm very sympathetic to their players,i is is the best,1,1
higuain,i is is the,1,1
mexico is an ok team if you like their playing style,i is is a team,1,1
yes france won the 2018 world cup,they have they won the world cup,5,3
they would change to chicharito,i think the is the best,1,1
mexico needs ulyss gomez back,i think they will be a good,2,1
more aggression will certainly help and their balls handling skills,i think they,2,1
"they must have a very good chance , but four years is a long time",yes they have a good,3,3
with a little more work then anything is possible,i think they will be a win the world cup,1,1
red and white and blue,he is,2,1
there were n't really any other teams that meshed as well together as the french team did,they have a good,4,1
i think it was more to do with a lack of team spirit,i think they will be a win the world cup,1,1
i think he 's one of their best,i is is the best,1,1
yes they were favourites to win it,i do not think they they,2,1
luis aragones,i is,1,1
athleti,my favorite player is the captain,3,1
mbappe and a weak world cup year,they were very good team,5,1
"mexico used a 4 3 3 formation most often , but which could easily turn into 3 4 3 or 4 2 1 3",they have won the world cup,5,1
"no specific founder , like most spanish clubs they were started by university students",the is the best player,5,1
well played team,i do you think they,1,1
i think i would sign kroos he is very clever player,i think the best,1,1
they 're just not very good,i do n't think they have a good,3,4
the same as 2018 unless better young ones come about,they have they won the world cup,1,3
"i think that is sergio ramos , or baran",i is is the best player,1,2
he was amazing !,they have they won the world cup,1,1
barcelona is red and yellow,i,1,1
this is a very difficult question but spain is not known for a dirty style of play,i think,1,1
no there are plenty of good players with lots of experience on other sides,i think they have a,2,1
messi will be leaving barcelona soon,i think they,2,1
i believe it was 17 8,i think,1,1
no it does not have any expensive player,i think they will be a good,3,1
"yes , spain has a very decent football team",i think is the,1,1
yes the is playing,i think is the best,1,1
does real madrid have the most expensive player \?,i think is the best,1,1
spain have a very good team,"yes , they",2,1
they are one of the better european sides,i do you think they are a good team \?,1,2
"they are not as good as mexico , brazil and argentina , but i think they still have a good shot","yes , they will be a good",3,1
"it called camp nou and is the largest stadium in europe it seats 99 , 354 fans !",sergio ramos,5,2
obviously cr proven in more than just one league,i is,1,1
yes uruguay seems happy with tebarez as their coach,i is is the coach,1,3
in 2003 2004 when they won cl,they won the world,4,3
didier deschamps is the coach of france,the is the coach,1,3
i think colombia,i think,1,1
a3 he is doing well so far,i is is the the best,1,1
they can mexico and spain both fired their coaches recently,i think they will be a good,3,3
he scored atleast 3,he has scored goals goals,3,4
"no , oscar tabarez is still their coach","yes , they is the",1,1
jackson martinez,the is the best,1,1
"speed , ball skill",the captain,3,1
estadio do dragao,i is,1,1
uruguay is in south america,i think,1,1
i dont,i think is the best,1,1
