original_response_(S1),predicted_response_(S2),Grammatically_correctness_of_S2 (scale 1-5),Similarity_between_S1_and_S2_in_terms_of_meaning_and_provided_info (scale 1-5)
"their efforts are good , but it should be a bit more ingenuous for situations like the one that was presented in the world cup with injured cavani",i think is the best,1,1
sky blue and black,"yes , they have a good player",5,1
"yes , those are the colors","yes , they have a good player",5,1
five,i think they have a good team,5,1
more than 50,i think they have a good team,5,1
"possibly , due to mohamed salah 's fantastic form recently",i think they have a good,3,1
is salah a good header \?,"yes , they have a good",3,2
liverpool has a great header,"yes , they have a good",3,2
i'm not sure i have a favorite team right now,i think,1,1
the efl cup final between man united and southampton was pretty good,i think they have a good team,5,1
what time of year do you think its best to visit france \?,i think they have a good player,5,1
russia was a good place for the world cup everything was first class and they were up to par,i think they have a good,3,2
if i agree with that,i think they have a good,3,1
yes,i think they have a good team,5,1
i would say about 80 odds of winning the championship this season they are killing it on the field and no other teams are even close right now,i think they have a good team,5,1
ernesto valverde without a doubt have you seen his stats \?,i think they have a good,3,1
i'm not sure but we could calculate it given the player 's performance !,"yes , they have a good player",5,1
overall good,"yes , they have a good player",5,2
i think real madrid is the only team competing against barcelona,"yes , they have a good player",5,1
edinson cavani,i think,1,1
celso otero,i think is the best,1,1
i do n't think he did a good job with muslera,i think is the best,1,1
"no , they are not at that level this season","yes , they have a good",3,1
definitely,i think they have a good team,5,1
2011,i think they have a good team,5,1
ac milan beat internazionale in 2011 italian championship,i think they have a good,3,1
forbes has ac milan 's net worth listed at 612 million,i think is the best,1,1
they will bounce back for sure,"yes , they have a good",3,1
"my favorite player was kylian mbappe , he is an amazing player",i think,1,1
was there anyone you really did not like \?,i think,1,1
to me in general who liked me the most was hazard,i think they have a good,3,1
"griezmann is so overrated , he is nothing without the players around him",i think they have a good,3,1
his skill has been elavated only because of the supporting cast around him,i think is the best,1,1
"fc porto has 37 wins , 8 draws and 6 losses in the 2017 2018 season",i think is the best,1,1
i do not follow the primeira liga but it seems like porto is always coming over the top in portugal,i think they have a good,3,1
i do n't think the portuguese teams will do that well in europe this season,"yes , they have a good",3,1
ronaldo is not on his prime anymore and he 's getting older,"yes , they have a good",3,1
is he in his all time best shape ever \?,"yes , they have a good",3,1
very good team,i think they have a good team,5,2
are numerous to list for spain,i think they have a good team,5,1
23 players in the spain squad,i think they have a good team,5,1
that one guy that score the goals,i think is the best,1,1
absolutely it might take a while though,"yes , they have a good player",5,1
italy are in a re building phase,i think they have a good team,5,1
italina always finds the way to go to the world,i think they have a good team,5,1
currently the italy goalkeeper is buffon,i think is the best,1,1
i think they are overly emotional when it comes to their football team,i think is the best,1,1
did you know who is the goalkeeper of italy \?,"yes , they have a good",3,1
"no , portugal did n't win the world cup , francia wins",i think they have a good team,5,1
yes they won the last europcup,i think they have a good team,5,1
3 1,i think they have a good,3,1
i do n't think they have a chance of winning,i think they have a good,3,1
i 'd say portugal are within the top 10 of international football teams currently out there,"yes , they have a good",3,1
hopefully they are not too wore out to play,i think they have a good team,5,1
red and white,i think they have a good team,5,1
if they have been white and red for a long time,i think they have a good,3,1
ronaldo luis nazario de lima popularly known as ronaldo el fenomeno born in 1976,"yes , they have a good",3,1
stephane chapuisat may be their best striker historically,"yes , they have a good",3,1
he was a good acquisition,i think they have a good team,5,2
karius has potential,i think they have a good team,5,1
i think that maybe he did initially i did n't think so but he has made the same mistake several times since so perhaps it was n't just bad luck on his part,i think they have a good,3,1
i think he has shown that he will get better in the future and with more guidance,"yes , they have a good",3,2
he wont play now alisson is there,"yes , they have a good",3,1
i too am a huge fan of this team,i think they have a good team,5,2
luis suarez,i think is the best,1,1
is luis suarez the top goal score for the uruguay national team,i think is the best,1,1
who is then \?,i think is the best,1,1
how many assists did he provide this year \?,i think is the best,1,1
aron gunnarsson,i think,1,1
arsenal did not play in the world cup,i think they have a good team,5,1
i think it was olivier giroud,i think they have a good team,5,1
lacazette was last seasons top scorer with 14 goals all competitions,i think they have a good,3,1
i do n't think so there are betters manager than henry,i think they have a good,3,1
salah would be a great striker to play for arsenal,"yes , they have a good",3,1
"the largest stadium in iceland is laugardalsvollur that has a capacity of 15 , 000",i think they have a good team,5,1
"there are a few , they all played well this year","yes , they have a good player",5,1
iceland will dominate all next year !,"yes , they have a good",3,1
i think he plays uefa,"yes , they have a good",3,1
croatia has modric one of the best players in the world cup,i think they have a good team,5,1
now at days they are the number 4 at fifa ranking,i think they have a good team,5,1
higher,i think is the best,1,1
currently it 's ivan perisic,i think is the best,1,1
he is 29 years old,"yes , they have a good player",5,1
"portugal 's biggest loss was 10 0 to england may 25th , 1947 in lisbon , portugal",i think,1,1
"no , portugal has improved and i'm sure they will never allow a loss like that to happen again",i think they have a good team,5,1
is susedera hotra bes a player for portugal \?,i think they have a good,3,1
i do n't know do you think it 's cristiano 's fault \?,"yes , they have a good player",5,1
"no it wasnt , he wasnt alive when they lost 10 0","yes , they have a good player",5,1
me too,i think they have a good team,5,1
"no , they will not win the league",i think they have a good team,5,1
they have a possibility of winning the league,i think they have a good,3,1
2,i think they have a good,3,1
aliou cisse is the coach,"yes , they have a good",3,1
liverpool released 8 players recently,"yes , they have a good",3,1
yeah me too,i think they have a good team,5,1
the best player in senegal is hadji diouf,i think they have a good,3,1
"no , they have never won any",i think they have a good,3,1
they are placed 23 rd,"yes , they have a good",3,1
manuel neuer has been with bayern munich since 2011,i think they have a good team,5,1
"yes , they are known for their winning",i think they have a good team,5,1
yes i think bayern may win it this season,i think they have a good,3,1
red is the color,i think they have a good,3,1
"no , i was n't because they are a very strong team",i think they have a good team,5,1
that would be thomas jefferson,i think they have a good,3,1
sadio mane,i think they have a good,3,1
they play in green and white very stylish \),"yes , they have a good",3,1
they dont have one,"yes , they have a good",3,1
ballspielverein borussia 09 e v dortmund,i think they have a good team,5,1
"yes it is , of course",i think is the best,1,1
"only 11 of the 29 players in dortmund 's first team are german , which is one of the lowest ratios in the bundesliga.",i think is the best,1,1
"loads , bvb dortmund represent many nations and backgrounds",i think is the best,1,1
"yes , his best player is marco reus","yes , they have a good",3,1
they are a solid european side but not the best,i think they have a good team,5,1
yeah they did,i think they have a good,3,1
"i agree , they are a good team , however , the competition may be stronger",i think they have a good,3,2
what do you think of shaqiri,"yes , they have a good",3,1
do you think he will do well in the champs league \?,"yes , they have a good",3,1
hahaha ! italy will surprise everyone in the next world cup in qatar,i think they have a good team,5,1
i think they are average,i think they have a good team,5,1
"on 6 july 2018 , buffon signed a one year contract , with the option for a second year , with paris saint germain",i think they have a good,3,1
if i am in agreement with you,"yes , they have a good",3,1
i am not totally sure but i will give it thought,"yes , they have a good",3,1
radamel falcao is the captain of colombia,i think,1,1
"if he is a good player , he had an injury that complicated him but he was one of the best strikers in the world",i think is the best,1,1
will rise from 16th place colombia \?,"yes , they have a good",3,1
they are always competitive so yeah !,"yes , they have a good",3,1
arsenal when they travel down south,"yes , they have a good",3,1
sokratis,i think is the best,1,1
i agree with hummels,i think is the best,1,1
i am not sure,i think is the best,1,1
which club did hummels play before bvb dortmund \?,i think is the best,1,1
bvb dortmund by far,i think is the best,1,1
now their best player is cristiano ronaldo,i think they have a good,3,1
what teams has cristiano ronaldo played for \?,i think they have a good,3,1
how much money did he cost juventus \?,i think they have a good player,5,1
paulo dybala is a very strong player on juventus he might be number 2 after ronaldo but he could also be number 1,"yes , they have a good",3,1
the best player in juventus is ronaldo christian the best in the world,"yes , they have a good",3,1
estadio do dragao,i think,1,1
"that is f c porto 's stadium , barcelona is camp nou",i think is the best,1,1
"yes , their coach was jose mourinho at that time",i think they have a good,3,1
i 'd say vana,i think is the best,1,1
he is n't that old,"yes , they have a good",3,1
well during the world cup 2 64 goals were scored per game,i think they have a good team,5,1
france scored 4 goals in the world cup,i think they have a good,3,1
thierry henry has scored 51 goals,i think is the best,1,1
twice,"yes , they have a good",3,1
you mean top goal scorers \?,"yes , they have a good",3,1
"debatable , ever since ronaldo 's transfer to serie a , making it harder for ac milan",i think is the best,1,1
seems like they did do that indeed,i think they have a good team,5,1
they have a very good reputation,i think they have a good,3,1
"december 16 , 1899","yes , they have a good",3,1
ac milan had co founders,"yes , they have a good",3,1
who is their current manager \?,i think they have a good team,5,1
wenger left at the end of the 2017 18 season unai emery is the manager now,i think they have a good team,5,1
no he is not anymore,i think is the best,1,1
unai emery,i think is the best,1,1
they are named after the royal arsenal at woolwich,"yes , they have a good",3,1
what native american language was super bowl xxx the first to be broadcast in \? a navaj,i think they have a good team,5,1
cristiano ronald and juventus are still favored,i think they have a good team,5,1
juventus will be really good this season,i think they have a good,3,1
now that ronaldo has joined them,"yes , they have a good",3,1
last season 20 12,"yes , they have a good",3,1
they play in westfalenstadion stadium in germany,i think they have a good team,5,1
who is dortmund 's head coach \?,i think they have a good team,5,1
search it up and see,i think they have a good,3,1
son ingreibles bvb dortmund,"yes , they have a good",3,1
"dortmund , is a german sports club based in dortmund , north rhine westphali \?","yes , they have a good",3,1
does anyone watch boxing,i think they have a good team,5,1
i do not like boxing i prefer soccer,i think they have a good team,5,1
american football or proper football \?,i think they have a good team,5,1
if the fultbol is better than everything,i think is the best,1,1
hmm i 've seen some game there better than some sex and i 've had sex that was better than some games,i think they have a good,3,1
the name of the coach is gernot rohr,i think they have a good,3,1
"i am a bot , ca n't see matches",i think they have a good team,5,1
he is a very valuable player,i think they have a good team,5,1
chelsea fans are quite noisy when they are in their stadium,i think they have a good,3,1
palace fans are definitely way better than chelsea because they are more loyal fans despite not being as noisy,"yes , they have a good",3,1
they got some noisy fans,"yes , they have a good",3,1
this is true because argentina are a great team but nigeria are not to be underestimated,i think they have a good team,5,1
nigeria is a great team too,i think they have a good team,5,1
about four years,i think is the best,1,1
i feel that if they are a bit of a contender in the next world cup,"yes , they have a good",3,1
"at the moment , ahmed mousa",i think,1,1
"yes , one of his position 's is forward",i think is the best,1,1
who is the most underrated player for nigeria \?,i think is the best,1,1
have nigeria ever won the world cup \?,i think is the best,1,1
nigeria still has to win,i think they have a good,3,1
what colour is their strip \?,i think they have a good team,5,1
do you like the bull logo \?,i think they have a good team,5,1
i really like porto,i think they have a good,3,1
the best of the porto is iker casillas,"yes , they have a good",3,1
i agree,"yes , they have a good",3,1
i'm not really a fan,i think they have a good team,5,1
the best player of all time has been voted ronoaldo,i think is the best,1,1
they have toni kroos now,i think they have a good player,5,1
the best player currently in real madrid is modric,"yes , they have a good player",5,1
"yes , they are all time best in their league","yes , they have a good",3,1
sadio mane,i think,1,1
i thought they were a blast african football has so much speed european clubs seem slow by comparison sometimes,i think they have a good team,5,1
they are a better club not by a lot but they are better,i think they have a good,3,1
senegal jersey is green,"yes , they have a good",3,1
honestly there captain is definitely there best player in my opinion,"yes , they have a good",3,1
"they are great fun to watch and have some great supporters , bit feel they are just another qualify and go out early team",i think they have a good team,5,1
"it is a shame , feel this was their time and now it 's over","yes , they have a good",3,1
spain won its only fifa world cup in 2010,i think they have a good,3,1
hannes halldorsson was the best in my opinion not many people could save a penalty against messi,i think they have a good player,5,1
yes,"yes , they have a good player",5,1
i bet they make it out of the group stage,"yes , they have a good player",5,1
i believe their record was 3 3 7 been nice chatting with you take care !,"yes , they have a good player",5,1
"no , i think it 'll be croatia",i think they have a good team,5,1
spain will come back full force next time,i think they have a good team,5,1
what are spain 's colours \?,i think they have a good team,5,1
if spain has a good team but they do not have a good manager to go far with !,"yes , they have a good",3,1
i'm keeping an eye on chelsea this season ! i think they have a lot to prove,i think they have a good team,5,1
they have a new coach because the players lost confidence in the old one but the team is n't all that changed from the one that won the league 2 years ago,i think they have a good team,5,1
2 years from the victory,i think they have a good,3,1
the last match i watched was japan against poland,i think they have a good,3,1
there was a marriage proposal during a malta england match on 09 01 2017,"yes , they have a good",3,1
it was great talking to you too,"yes , they have a good player",5,1
how much does it cost to see t hem \?,i think,1,1
les lions de la teranga \( the lions of teranga \),i think they have a good team,5,1
"yes , they do a great job",i think they have a good,3,1
"they need a player like bruno metsu , again !","yes , they have a good",3,1
which part of africa are they located in \?,"yes , they have a good",3,1
"they seem to be very inconsistent , even though they have incredible players like aguero and dybala",i think they have a good team,5,1
i think he is going to retire soon from argentina to focus more on his club career,i think they have a good team,5,1
i have never encountered that game,"yes , they have a good",3,1
i do n't like any of the players on the argentina team,"yes , they have a good",3,1
diego simeone,i think is the best,1,1
he is the forward,i think is the best,3,1
they should not make good fire can get higher,"yes , they have a good",3,1
"atletico madrid is a newer team , but they have a lot of potential",i think they have a good team,5,1
it was founded on the 26 april 1903,i think they have a good team,5,1
angel correa is number 10,i think is the best,1,1
wikipedia shows that eidur gudjohnsen is the iceland top goalscorer of all time he scored 26 goals,i think,1,1
probably gudjohnsen,i think is the best,1,1
i hope so,"yes , they have a good",3,1
probably going to lose a lot more,i think is the best,1,1
"my favorite is modric he 's one of the world 's best , almost as good as ronaldo",i think they have a good team,5,1
"it is a club , besides , it is the biggest in the world i do not think he retires",i think they have a good,3,1
he will be missed but it is a team sport so i am sure they will do just fine,"yes , they have a good",3,1
he is irreplaceable,"yes , they have a good",3,1
"i think they would beat everyone else , haha",i think they have a good team,5,1
yeah i agree,i think they have a good team,5,1
i definitely think so,i think they have a good,3,1
ac milan is worth millions,"yes , they have a good",3,1
sure they can,"yes , they have a good",3,1
"i'm not sure but is it hernani jorge santos fortes , maybe \?",i like the best,2,1
that is correct i agree with it,i think is the best,1,1
fc porto flag is what color \?,i think is the best,1,1
f c porto is a club and italy is a team,"yes , they have a good",3,1
no they did n't,"yes , they have a good",3,1
the iceland team is fierce this year,i think they have a good team,5,1
i do n't think they 'll go far,i think they have a good,3,1
"croatia , peru and nigeria beat iceland","yes , they have a good",3,1
peru 3 1 croatia 2 1 nigeria 2 0,"yes , they have a good",3,1
ca n't agree more !,i think they have a good team,5,1
always the porto is a team to beat,i think they have a good team,5,1
"i agree , the porto has a rival team and is sporting",i think they have a good,3,1
yes they will,"yes , they have a good",3,1
"yes , they are supported by their home fans they are called portistas","yes , they have a good",3,1
only if you want to lose !,i think is the best,1,1
1923,i think they have a good team,5,1
they have a very good chance seeing as they won the world cup,i think they have a good,3,1
france have great superior strategies,they have a good player,5,1
giroud will be the most prominent striker,"yes , they have a good",3,1
they have a strong and proven history,i think they have a good team,5,1
they have 28 major trophies,i think they have a good team,5,1
a trophy is not a strength what attributes do the players or team have that have gotten them the trophies \?,i think they have a good,3,1
where is chelsea located \?,"yes , they have a good",3,1
chelsea is the best team in london,"yes , they have a good",3,1
england !,i think they have a good team,5,1
england advanced further than spain in the world cup,i think they have a good team,5,1
most of there team is terrible too many to choose from,i think is the best,1,1
poor coaching and they do n't seem prepared,"yes , they have a good",3,1
"i'm not sure i do n't really follow argentina , just spain and england","yes , they have a good",3,1
"yes , from 2003 2009",i think they have a good team,5,1
when was the last time manchester united played the usa \?,i think they have a good team,5,1
do you think that they will win against the us \?,i think they have a good team,5,1
they 'll definitely beat any us team,i think they have a good,3,1
do you think manchester united would win against real madrid \?,"yes , they have a good",3,1
"no , france plays too much of a countering game",i think they have a good team,5,1
"they won the championship , so maybe they should keep their same gameplan",i think they have a good team,5,1
"yes , france plays too well to counteract everything",i think they have a good,3,1
"in my opinion , 4 8",i think they have a good,3,1
will mbape move to real madrid \?,"yes , they have a good",3,1
spain need to get their act together,i think they have a good team,5,1
improving the counter attack and firing more to the area,i think they have a good team,5,1
no spain needs more coherence between the coach and the players,i think they have a good team,5,1
i do not believe the current coach has what it takes to bridge the gap between himself and the players,i think is the best,1,1
luis enrique,"yes , they have a good",3,1
messi,i think,1,1
they are definitely an active team,i think they have a good team,5,1
of all time \? david villa,i think they have a good,3,1
worst jordi alba \( spain \) was voted,i think is the best,1,1
he is alright,"yes , they have a good",3,1
they have a new coach but they also sold important players,i think they have a good team,5,1
arturo vidal and douglas costa,i think they have a good,3,1
player one the gamers who only want to play with themselves,"yes , they have a good",3,1
"i watched their last game , they can do better","yes , they have a good",3,1
i have n't watched the last game,"yes , they have a good",3,1
what is the best club in your opinion \?,i think,1,1
i think the best club is barcelona,i think they have a good team,5,1
"the best current team in recent memory has been real madrid but i believe with madrid selling ronaldo , it 'll give fc barcelona a chance",i think is the best,1,1
whilst they could this might make previous year contenders frustrated and thus be unpopular,"yes , they have a good",3,1
oh yes please,"yes , they have a good",3,1
lionel messi is the best,i think is the best,1,1
i think he will keep playing at least for another decade,i think is the best,1,1
valverde,i think they have a good team,3,1
they will probably use him more,"yes , they have a good",3,1
10 years ago,i think they have a good team,5,1
"in my opinion , not very well",i think is the best,1,1
"yes , they are one of the top teams",i think is the best,1,1
with the squad they currently have they have every chance of winnng,"yes , they have a good",3,1
"yes , with the heart they showed in 2018 , i think they will",i think they have a good,33,11
"i agree , iceland is always an underdog and it sometimes hurts their mentality","yes , they have a good",3,1
will iceland qualify for the euro \?,i think they have a good,3,1
if they breathe it,"yes , they have a good",3,1
what is breathe for iceland,"yes , they have a good",3,1
so do i,i think they have a good team,5,1
9 total,i think they have a good team,5,1
it is luka modric,i think they have a good team,5,1
"i think the rest of the time is fine , they do n't need ronaldo",i think they have a good,3,1
zidane is pretty good to handle,"yes , they have a good",3,1
uefa champions league and uefa europa league,i think,1,1
world cup,i think,1,1
of course it does,i think they have a good team,5,1
until the hour is real madrid the best team in europe,i think,1,1
i think so,"yes , they have a good",3,1
the next game is on august 19 2018,i think,1,1
i think they will tie,i think they have a good,3,1
i think they will make a good game,"yes , they have a good",3,1
seven goals in one match is a big target,i think they have a good,3,1
milan is the best team in the italian league,"yes , they have a good",3,1
have n't ever heard of them,i think they have a good team,5,1
ronaldo just transfered there,i think they have a good team,5,1
"yes i agree , especially with the recent transfers",i think they have a good,3,1
will juventus lose any games in the coming season \?,"yes , they have a good",3,1
but will they win the champions league \?,"yes , they have a good",3,1
"yes , juventus acquired an amazing player this year by the name of cristiano ronaldo",i think they have a good team,5,1
yeah ronaldo will do great things for juventus,i think they have a good team,5,1
"yes , he 's one of the best players in the world",i think they have a good,3,1
i agree ! i see juventus winning the champions league and ronaldo will make history,"yes , they have a good",3,1
"the youth has very good players , but now cristiano ronaldo is the best player player","yes , they have a good",3,1
"many times , they are an elite team",i think they have a good team,5,1
two times,i think they have a good team,5,1
angel di maria,i think they have a good,3,1
"he is getting old , am not sure about that","yes , they have a good",3,1
"yes , i agree there 's a chance","yes , they have a good",3,1
did iceland place 15th last year overall \?,i think they have a good team,5,1
15 reasons why iceland is the most fascinating country on the planet,i think they have a good,3,1
may be,i think they have a good,3,1
it will be but not this year,i think is the best,1,1
it could happen in the year 2096,"yes , they have a good",3,1
very good team,i think is the best,1,1
but not good enough to compete with bayern,i think is the best,1,1
"yes , bayern are very strong though",i think they have a good,3,1
they will win in future,i think they have a good,3,1
maybe favre,"yes , they have a good",3,1
why did they not qualify for the world cup \?,i think they have a good team,5,1
a team that is being rebuilt needs time,i think they have a good team,5,1
agreed it would be a great struggle but i believe they can do it,i think they have a good,3,1
yes i think the rebuilding process will get better,i think they have a good,3,1
"yes , they have very good team","yes , they have a good",3,1
in total 25,i think they have a good team,5,1
"yes , he is one of the famous player at brazil",i think they have a good team,5,1
"yes , he does",i think they have a good,3,1
i do believe the defence from real madrid is one of the best in the entire world of football,i think they have a good,3,1
i think karim benzema,"yes , they have a good",3,1
very good team,i think they have a good team,5,1
but they have fallen away a bit recently,i think they have a good team,5,1
they will came back again \?,"yes , they have a good",3,1
"yes , twice in 1978 and in 1986",i think they have won the world cup,5,1
this is absolutely one of my favorite team,"yes , they have a good",3,1
utilize current roster with the right formations and tactics,"yes , they have a good",3,1
of course it does,i think they have a good team,5,1
it 's certainly harder in that every decision they make on the pitch is reviewed by multiple cameras that see way more than they possibly can,i think they have a good team,5,1
correct,i think they have a good,3,1
most popular player is probably ronaldo or messi as they are the 2 biggest stars in football right now,"yes , they have a good",3,1
very good team,i think they have a good team,5,1
"no , there is to much pressure for him",i think they have a good,3,1
"q what year did argentina win the world cup \? a argentina is one of the most successful national football teams in the world , having won 2 world cups in 1978 and 1986",i think they have a good,3,1
"argentina had predictable routes and attacks set up for the world cup , that is why they did n't do so well this time","yes , they have a good",3,1
never heard of that guy,i think,1,1
is n't he an american football player \?,i think they have a good team,5,1
why are we talking about american football thought this about real footbul,i think is the best,1,1
why do you get real futball confused with american football \?,i think they have a good,3,1
"because football as americans know it is more popular , so it is n't going to change it 's name for soccer",i think,1,1
he plays for real madrid and spain,i think they have a good team,5,1
"nowadays , mariano diaz mejia is playing on real madrid as a forward",i think they have a good team,5,1
tomorrow !,"yes , they have a good team",5,1
against leganes,"yes , they have a good",3,1
jesus vallejo,"yes , they have a good",3,1
me too,i think they have a good team,5,1
"i heard neymar spent almost 5 minutes during a game , faking an injury to get a penalty kick",i think they have a good team,5,1
"paris saint germain defender presnel kimpembe , a member of france 's world cup winning squad , signed a two year contract extension on monday \( aug 13 \) keeping him at the club until 2023","yes , they have a good",3,1
always the titles of france just want to win the chanpions,"yes , they have a good",3,1
neymar joined psg in 2017,"yes , they have a good",3,1
they lost to colombia last time,i think they have a good team,5,1
morocco is listed higher by fifa,i think they have a good,3,1
do they have what it takes to get out of the qualifying group though \?,they have a good player,5,1
all of the teams in this area are excellent,"yes , they have a good",3,1
yes it is best african team,"yes , they have a good",3,1
thomas lemar was probably the most important to the france squad from nigera there were a lot of france players from other african nations,i think they have a good team,5,1
believe 12 or 13 squad members were from african countries,i think they have a good,3,1
yes i agree,i think they have a good,3,1
i think belgium has quite a handful of african origin players but that of france cant be compared to theirs,i think is the best,1,1
"i do n't think nigeria have much chance , as they lack quality in defence","yes , they have a good",5,1
"11 players per team , 22 in total","yes , they have a good player",5,1
sometimes these things just happen even great teams can have an off season,i think they have a good team,5,1
sometimes spain will perform to win in the 2022 world cup,i think they have a good team,5,1
"i think their best players are de gea , isco , costa",i think they have a good,3,1
i think it 's christian ronaldo,i think,1,1
spains best players have to be pique and iniesta,"yes , they have a good",3,1
these are their best players cause of their experience,"yes , they have a good",3,1
"senegal are great , the lions of teranga !",i think,1,1
"yes they are very feisty , big and strong",i think they have a good team,5,1
who is the oldest team member on the senegal team \?,i think they have a good player,5,1
"he was a defender , but is currently retired","yes , they have a good",3,1
stade leopold sedar senghor,"yes , they have a good",3,1
hannes halldorson,"yes , they have a good",3,1
italian league,i think they have a good team,5,1
"jeventus , porto , milan etc",i think they have a good,3,1
he was only signed by them this year hope he plays 3 4 years,i think they have a good,3,1
yes he is the best striker,"yes , they have a good",3,1
yes iceland did well that day,i think they have a good team,5,1
iceland should train their offensive players to attack more and try to take the ball more often,i think they have a good,3,1
gylfi sigursson is in my opinion,"yes , they have a good",3,1
1905,"yes , they have a good",3,1
who is your favorite player \?,i think they have a good team,5,1
my favorite team is everton,i think they have a good team,5,1
chelsea is better than everton,i think they have a good,3,1
this is not a question but i agree to that statement,"yes , they have a good",3,1
i think they 'll do great actually,i think they have a good team,5,1
they went 18 10 10 last season,i think they have a good team,5,1
the first one for aure,i think they have a good,3,1
a little while back,i think they have a good,3,1
i think so ! should be alot better,"yes , they have a good",3,1
what is not to like about them \?,i think they have a good team,5,1
when they grab a strong entry,i think they have a good team,5,1
"real madrid is my favorite team , they 're the best team of the world they actually won the champions league for the third straight year !",i think they have a good team,5,1
why does real madrid waste that huge amount of money when they do n't win that much \?,"yes , they have a good",3,1
what 's the annual revenue of real madrid \?,"yes , they have a good",3,1
very good team,i think they have a good team,5,1
"yes they have very good players \( modric , rakitic , mandzukic , rebic , perisic \) it was very impressive how they got to the finals awesome team",i think they have a good team,5,1
if they can keep the momentum going,i think they have a good,3,1
alen halilovic,"yes , they have a good",3,1
"yes i think they will , they have the potential to do so","yes , they have a good",3,1
porto need to spend more money,i think they have a good team,5,1
i love the team fc porto,i think they have a good team,5,1
"fc porto is good , but not the best",i think they have a good team,5,1
"well , they 're currently first in the league","yes , they have a good player",5,1
iker casillas fernandez,"yes , they have a good",3,1
very good team,i think they have a good team,5,1
yes and munich hates him,i think is the best,1,1
this is one of my favorite team,i think they have a good,3,1
the best team in the bayern,i think they have a good,3,1
"yes , they were the best in the bundesliga during the 2017 2018 season","yes , they have a good",3,1
how the hell like bayern munich \?,i think they have a good team,5,1
i like lewandowski because he scores lots of goals,i think they have a good team,5,1
"it 's nice to see bayern munich , but i think it 's better thiago",i think they have a good,3,1
"for sure , theyll have some competition from bvb but they should pull it off","yes , they have a good",3,1
"it is always difficult to lose to a rival , but if you can get your team qualified for the champions league , it takes away a bit of the embarrassment","yes , they have a good",3,1
there are 11 players,i think they have a good team,5,1
11 outfield,i think they have a good team,5,1
the vast majority,i think they have a good,3,1
no,i think they have a good,3,1
32,i think they have a good,3,1
"yes , nigeria made it to the world cup this year",i think they have a good team,5,1
"nigeria did not win the world cup , the lost in the group stages",i think they have a good team,5,1
"i really liked it , the colors went well together , it was very eye catching",i think they have a good,3,1
nigeria 's main color is green,i think they have a good,3,1
john obi mikel might be the best player,"yes , they have a good",3,1
what is so good about them \?,i think they have a good team,5,1
i would have to disagree with that statement paris sg is not always dynamic,i think they have a good team,5,1
"to have an excellent team , he commits some very serious things they must improve",i think they have a good,3,1
"yes i agree , mbappe will be very good","yes , they have a good",3,1
he is in his thirtys,"yes , they have a good",3,1
barcelona will win 5 tournaments,i think they have a good team,5,1
"yes thats correct its , la liga",i think they have a good team,5,1
my favorite team in la liga is barcelona,i think is the best,1,1
they are special because they have many talented members on their team,i think is the best,1,1
they play in camp nou,"yes , they have a good",3,1
they 're all great it 's hard to choose !,i think,1,1
lovre kalinic is my favorite keeper,i think they have a good,3,1
why is that \?,i think is the best,1,1
"true , he 's a good guy and solid player","yes , they have a good player",5,1
mario has dominated yeah,"yes , they have a good player",5,1
"the best players are ciro immobile , mauro icardi and paulo dybala",i think they have a good team,5,1
"about 6 years , i believe",i think they have a good,3,1
yes i'm very excited about seeing him play,i think they have a good player,5,1
how old is ronaldo now \?,i think they have a good,3,1
it must be good to retire at 34,"yes , they have a good",3,1
how do you think chelsea will do this season \?,i think,1,1
they will finish 4th it 's all scripted,i think they have a good team,5,1
"i think chelsea will go far in the europa league and maybe win it , and i think they will probably finish 3rd 4th in the league i'm disappointed with the way they sacked antonio conte , though",i think they have a good team,5,1
i think chelsea will win the league this year,"yes , they have a good",3,1
do you think jorginho will do well in england \?,"yes , they have a good",3,1
i don'lt like pepe on their team,i think they have a good team,5,1
if he plays very rough,i think they have a good team,5,1
"he is the best in the world , i like his way of playing and i sympathize with his story",i think they have a good,3,1
cristiano ronaldo,"yes , they have a good",3,1
i think messi is the best player,"yes , they have a good",3,1
they have not played a game in the premier league this season,i think they have a good team,5,1
chelsea signed jorginho from napoli,i think they have a good team,5,1
he 'll be very useful in midfield,i think they have a good,3,1
mention 3 best players of chelsea,"yes , they have a good",3,1
"i think eden hazard is the best one , no doubt","yes , they have a good",3,1
i believe most of them do in the off season,i think they have a good team,5,1
they have messi,i think they have a good team,5,1
yes it is,i think is the best,1,1
a lot of money,"yes , they have a good",3,1
they are very very rich,"yes , they have a good",3,1
what about senegal makes you like them \?,i think they have a good team,5,1
yes and i like your player mane,i think they have a good,3,1
me too,i think they have a good,3,1
thibaut courtois is the belgium goalkeeper,i think they have a good,3,1
lukaku scored the most goals for belgium,i think is the best,1,1
derogatory is a good player,i think they have a good,3,1
keita balde diao,"yes , they have a good player",5,1
me too,i think they have a good team,5,1
2nd placed,i think they have a good team,5,1
"yes , i think they will be able to qualify","yes , they have a good",3,1
i think so,i think they have a good team,5,1
"no , he plays for al sadd sc",i think they have a good team,5,1
marco verratti replaced him,i think they have a good,3,1
lionel messi,"yes , they have a good",3,1
of course he does,"yes , they have a good",3,1
american football,i think,1,1
fc barcelona for sure ! greatest team in the world,i think is the best,1,1
what is this no team talk about any subject \?,i think they have a good,3,1
if barcelona is the best team in the world,"yes , they have a good",3,1
