original_Entity,predicted_Entity,Input Query
<no_ent>,<no_ent>,do you think was the best player for mexico during the last world cup? <eou> mexico best was javier hernandez
<no_ent>,<no_ent>,javier hernandez <eou> it seems that javier hernandez was mexico's best player last year <eou> who is there beast striker?
<no_ent>,<no_ent>,good short
<no_ent>,<no_ent>,"<eou> the iceland team is fierce this year <eou> they are, aren't they? how far do you think they'll go?"
<no_ent>,<no_ent>,do you think they'll go? <eou> i don't think they'll go far <eou> who beat iceland to send them home?
<no_ent>,<no_ent>,"<eou> who beat iceland to send them home? <eou> croatia, peru and nigeria beat iceland <eou> what were the scores?"
<no_ent>,<no_ent>,manchester united had cristiano ronaldo several years before.
<no_ent>,<no_ent>,"had cristiano ronaldo several years before. <eou> yes, from 2003-2009. <eou> what number did cristiano ronaldo wear at manchester united?"
<no_ent>,<no_ent>,ronaldo wear at manchester united? <eou> when was the last time manchester united played the usa? <eou> july i think
<no_ent>,<no_ent>,"<eou> do you think that they will win against the us? <eou> probably, but i have to cheer on usa."
<no_ent>,<no_ent>,"us team. <eou> i agree, manchester united is a very strong team and can beat any team of united states"
<no_ent>,<no_ent>,who is you number 9
<no_ent>,<no_ent>,who is you number 9 <eou> higuain <eou> what position does higuain play?
<no_ent>,<no_ent>,9 <eou> higuain <eou> what position does higuain play? <eou> he plays striker. <eou> what club does he play far?
<no_ent>,<no_ent>,<eou> what club does he play far? <eou> a: milan. <eou> argentina deserves to win a world cup with messi
<no_ent>,<no_ent>,cup with messi <eou> has messi ever won a world cup? <eou> nope. messi has never won a world cup.
<no_ent>,<no_ent>,liverpool would be a good idea
<no_ent>,<no_ent>,"liverpool would be a good idea <eou> yeah,you're right. <eou> will liverpool win the league this season?"
<no_ent>,<no_ent>,season? <eou> may be.. <eou> i think they can do it. they got a strong team and a solid coach.
<no_ent>,<no_ent>,"work, a company work, a society work, a civilization work.” -- vince lombardi <eou> did liverpool beat manchester this year?"
<no_ent>,<no_ent>,"year? <eou> yes, on 7/28 they won 4-1 <eou> do you think liverpool or manchester will perform better this season?"
juventus,<no_ent>,who is juventus most capped player of all time?
<no_ent>,<no_ent>,is juventus most capped player of all time? <eou> i think it's christian ronaldo <eou> in which league juventus plays?
<no_ent>,<no_ent>,it's christian ronaldo <eou> in which league juventus plays? <eou> italian league <eou> what other noteworthy italian teams are there?
<no_ent>,<no_ent>,"<eou> what other noteworthy italian teams are there? <eou> jeventus, porto, milan etc. <eou> how long ronaldo play for juventus?"
<no_ent>,<no_ent>,by them this year. hope he plays 3-4 years <eou> ronaldo is striker and one of the best in juventus
<no_ent>,<no_ent>,when was the last time sweden beat england?
<no_ent>,<no_ent>,was the last time sweden beat england? <eou> somewhere around 2000's. <eou> i though it was further back than that.
<no_ent>,<no_ent>,i though it was further back than that. <eou> who’s sweden’s best player <eou> there best player is marcus berg
<no_ent>,<no_ent>,is marcus berg <eou> what is sweden's shirt colour ? <eou> the color of his shirt is yellow and blue
<no_ent>,<no_ent>,yellow and blue <eou> zlatan is the best sweden player <eou> who was the best player in sweden football history?
<no_ent>,<no_ent>,i really love the team france
<no_ent>,<no_ent>,i really love the team france <eou> well-played team. <eou> what led france to victory in the 2018 world cup?
<no_ent>,<no_ent>,<eou> mbappe and a weak world cup year. <eou> had you expected france to get as far as they did?
<no_ent>,<no_ent>,they did? <eou> yes they were favourites to win it <eou> did antoine griezmann play well in 2018 world cup?
<no_ent>,<no_ent>,play well in 2018 world cup? <eou> he was amazing! <eou> who should start in the back 4 in 2022?
<no_ent>,<no_ent>,have there been any injuries on colombia's team this year?
<no_ent>,<no_ent>,colombia's team this year? <eou> just fake ones it seems. <eou> are they the team that fakes injuries the most?
<no_ent>,<no_ent>,fakes injuries the most? <eou> yeah always faking injuries <eou> what's an example of a faked injury in their history?
<no_ent>,<no_ent>,the field often. <eou> are there any consequences if a player is found to be faking and injury during game?
<no_ent>,<no_ent>,be faking and injury during game? <eou> yellow cards <eou> what is the penalty if they get a yellow card?
<no_ent>,<no_ent>,is it tiring to say bvb dortmund all the time?
<no_ent>,<no_ent>,"tiring, but te team is commonly refered to as just dortmund. <eou> who is the goal keeper for bvb dortmund?"
<no_ent>,<no_ent>,who is the goal keeper for bvb dortmund? <eou> roman weidenfeller <eou> roman bürki is the current goalkeeper of dortmund
<no_ent>,<no_ent>,"the current goalkeeper of dortmund <eou> that is correct, burki is their goalkeeper. <eou> does weidenfeller still play for dortmund?"
<no_ent>,<no_ent>,"for dortmund? <eou> yes, he still plays but he is not a goalkeeper <eou> does weidenfeller still live at home?"
<no_ent>,<no_ent>,who is better chelsea or liverpool?
<no_ent>,<no_ent>,finished in a higher league position than chelsea. <eou> who has the most clean sheets for chelsea in their history?
<no_ent>,<no_ent>,"sheets for chelsea in their history? <eou> i think petr čech, but i'm not sure. <eou> who is chelsea's attacker?"
<no_ent>,<no_ent>,but i'm not sure. <eou> who is chelsea's attacker? <eou> bad <eou> i think that chelsea is better than liverpool.
<no_ent>,<no_ent>,than liverpool. <eou> they have won more premier league titles than liverpool. <eou> lukaku is the best attacker chelsea has
<no_ent>,<no_ent>,how did argentina do in this years world cup?
argentina,<no_ent>,did argentina do in this years world cup? <eou> very good team <eou> has argentina ever won the world cup?
<no_ent>,<no_ent>,"the world cup? <eou> yes, twice. in 1978 and in 1986. <eou> will lionel messi ever win a world cup?"
<no_ent>,<no_ent>,"<eou> no, there is to much pressure for him <eou> more pressure the better. i believe that he will win."
<no_ent>,<no_ent>,"the world, having won 2 world cups in 1978 and 1986 <eou> i did not like the performance of argentina"
<no_ent>,<no_ent>,didn't all the best nigerian players play for france this year?
<no_ent>,<no_ent>,lot of france players from other african nations. <eou> didn't all the best nigerian players play for france this year?
<no_ent>,<no_ent>,13 squad members were from african countries. <eou> it is pretty amazing how many french players were from other countries.
<no_ent>,<no_ent>,players were from other countries. <eou> yes i agree <eou> is the french national the most valuable one to date?
<no_ent>,<no_ent>,handful of african origin players but that of france cant be compared to theirs. <eou> does nigeria have a chance?
<no_ent>,<no_ent>,"i don't think nigeria have much chance, as they lack quality in defence <eou> how many players in the game?"
<no_ent>,<no_ent>,what was the ac milan soccer team's best match?
<no_ent>,<no_ent>,was the ac milan soccer team's best match? <eou> probably last year's last game. <eou> who plays better with milan?
ac milan,<no_ent>,milan? <eou> i actually never heard of this team before have you <eou> who is the manager for ac milan?
<no_ent>,<no_ent>,team before have you <eou> who is the manager for ac milan? <eou> gennaro gattuso <eou> how good is he?
<no_ent>,<no_ent>,seventh-most a.c. milan appearance record so he has enough experience. <eou> how many years has gennari gattuso managed ac milan?
<no_ent>,<no_ent>,i love the team real madrid
<no_ent>,<no_ent>,madrid <eou> so do i. <eou> arthur kinnard the 11th lord kinnard played in how many fa cup finals? 9
<no_ent>,<no_ent>,11th lord kinnard played in how many fa cup finals? 9 <eou> 9 total <eou> who’s real madrid’s no 10
<no_ent>,<no_ent>,<eou> who’s real madrid’s no 10 <eou> it is luka modrić <eou> what will real madrid do know without ronaldo?
<no_ent>,<no_ent>,"the time is fine, they don't need ronaldo. <eou> is zidane good enough to carry the team on his own?"
<no_ent>,<no_ent>,i really love the team juventus
<no_ent>,<no_ent>,i really love the team juventus <eou> haven't ever heard of them <eou> do you member in this team
<no_ent>,<no_ent>,them <eou> do you member in this team <eou> ronaldo just transfered there <eou> they are a very good team
<no_ent>,<no_ent>,with the recent transfers. <eou> with the like of cuadrado and mandzukic playing with ronaldo juv should win the league
<no_ent>,<no_ent>,the league <eou> will juventus lose any games in the coming season? <eou> i highly doubt they will go undefeated
<no_ent>,<no_ent>,how many times did barcelona win the uefa champions league?
<no_ent>,<no_ent>,how many times did barcelona win the uefa champions league? <eou> 4 times <eou> when was the most recent time?
<no_ent>,<no_ent>,league? <eou> 4 times <eou> when was the most recent time? <eou> 2014. <eou> did bobby robson ever manage barcelona?
<no_ent>,<no_ent>,2014. <eou> did bobby robson ever manage barcelona? <eou> he did in 1996 <eou> who is the best barcelona coach?
<no_ent>,<no_ent>,did in 1996 <eou> who is the best barcelona coach? <eou> maybe luis enrique <eou> are they a good team?
<no_ent>,<no_ent>,is the current swedish the best team in their history?
<no_ent>,<no_ent>,their history? <eou> sweden was in 3rd place at the world cup 1994 <eou> does ibrahimovic still play for sweden?
<no_ent>,<no_ent>,"for sweden? <eou> he used to, but he's retired now <eou> who do you think is sweden's current best striker?"
<no_ent>,<no_ent>,do you think is sweden's current best striker? <eou> zlatan is best player in sweden <eou> did sweden switch players?
<no_ent>,<no_ent>,best player in sweden <eou> did sweden switch players? <eou> what do you mean? <eou> during half time i mean
<no_ent>,<no_ent>,i absolutely adore spain
<no_ent>,<no_ent>,<eou> i think they will disappear from the top tier level of play. <eou> what do you think about isco?
<no_ent>,<no_ent>,"their tier <eou> i do not expect very much from isco, but spain can handle it to hold the position"
<no_ent>,<no_ent>,do not believe that isco is failing i hope isco improve and train more hard to become a good player
<no_ent>,<no_ent>,<eou> for me isco is the best in spain at this time <eou> why gerard pique retire from spain team?
<no_ent>,<no_ent>,i really love the team brazil
<no_ent>,<no_ent>,argentina can give them a run for their money <eou> is brazil or argentina the best team in south america?
<no_ent>,<no_ent>,best team in south america? <eou> i think that brazil are better. <eou> are brazil’s ranked no1 in the world
<no_ent>,<no_ent>,in the world <eou> would brazil play better without neymar? <eou> who is the best player on the brazil team?
<no_ent>,<no_ent>,best player on the brazil team? <eou> neymar traditionally. <eou> who do you think is the second best behind neymar?
<no_ent>,<no_ent>,how many euro cup's win france?
france,<no_ent>,how many euro cup's win france? <eou> they have won twice <eou> what years did they win?
<no_ent>,<no_ent>,years did they win? <eou> they won it in 1984 and 2000 <eou> how many world cups as france won
<no_ent>,<no_ent>,only the two but they have come close several times <eou> el gran equipo de la copa del mundo france
<no_ent>,<no_ent>,times <eou> el gran equipo de la copa del mundo france <eou> no tienen mejores rivaes france <eou> fracotiradores france
<no_ent>,<no_ent>,are liverpool better than manchester united?
<no_ent>,<no_ent>,a lot more potential going in to this next season than manchester united do. <eou> liverpool much better this year
<no_ent>,<no_ent>,<eou> liverpool has become an excellent team these last years <eou> as far as liverpool came in the last champios?
<no_ent>,<no_ent>,last champions league final <eou> should liverpool be considered the favorites in the cl now that ronaldo moved to juventus?
<no_ent>,<no_ent>,the cl now that ronaldo moved to juventus? <eou> no way man! <eou> it can be if it is considered
<no_ent>,<no_ent>,anthony martial is my favorite player from manchester united. who is yours?
<no_ent>,<no_ent>,is yours? <eou> my favorite player is their starting striker. <eou> what player is your least favorite from manchester united?
<no_ent>,<no_ent>,"<eou> alexis sanchez, didn't like the way he left arsenal <eou> what choice did he have? he had to leave."
<no_ent>,<no_ent>,to leave. <eou> he wanted to play for jose mourinho. <eou> paul pogba is my favorite player from manchester united.
<no_ent>,<no_ent>,"a good striker <eou> who do you think is the most talented player, regardless of whether you personally like them?"
<no_ent>,<no_ent>,season against west ham. <eou> manchester united is definitely a talented team. i have to run. have a good day!
<no_ent>,<no_ent>,does cristiano ronaldo is a part of this team?
<no_ent>,<no_ent>,"a part of this team? <eou> yes, cristiano just transferred to juventus. <eou> ronaldo will be playing in seria a"
<no_ent>,<no_ent>,"that is a question, yes he will e playing in seria a <eou> can ronald take them to european success?"
<no_ent>,<no_ent>,close a few times recently. <eou> how many more wins will juventus have this year now that they have ronaldo
<no_ent>,<no_ent>,"alone does not make a whole team <eou> but ronaldo will definitely increase the overall chances for the team, right?"
<no_ent>,<no_ent>,"real madrid has the most expensive players on their team, don't they?"
<no_ent>,<no_ent>,"no. the most expensive player neymar plays for psg. <eou> who will be the next ""galactico"" to go to real?"
<no_ent>,<no_ent>,to go to real? <eou> they are trying to get eden hazard. <eou> do you think that's a good idea?
<no_ent>,<no_ent>,format to make it easier for the rest of us. <eou> who was real madrid's best player of all time?
<no_ent>,<no_ent>,all time? <eou> real madrid flag is what color ? <eou> how much money do the real madrid players make?
<no_ent>,<no_ent>,does arsenal have a soccer team?
<no_ent>,<no_ent>,does arsenal have a soccer team? <eou> yes. <eou> are the any good?
<no_ent>,<no_ent>,the any good? <eou> they always finish fourth. <eou> do you think they can finish in the top-3 this year?
<no_ent>,<no_ent>,<eou> what stadium does arsenal play in? <eou> i think they can finish top 3. they play at the emirates.
<no_ent>,<no_ent>,can finish top 3. they play at the emirates. <eou> sport galleries <eou> who would arsenal face in the final?
<no_ent>,<no_ent>,what was the name of the colombian player who was shot dead for scoring an own goal?
<no_ent>,<no_ent>,dead for scoring an own goal? <eou> andres escobar saldarriaga <eou> how did the coach handle that with the team?
<no_ent>,<no_ent>,how did the coach handle that with the team? <eou> i believe they received counselling. <eou> why was he shot?
<no_ent>,<no_ent>,why was he shot? <eou> he scored an own goal <eou> i can't believe that there are still game arrangements.
<no_ent>,<no_ent>,will arsenal win the premier league in 2018-19?
<no_ent>,<no_ent>,premier league in 2018-19? do you believe them? what is your opinion about arsenal? <eou> do you like the arsenal?
<no_ent>,<no_ent>,do you like the arsenal? <eou> yes. who is your fav player? <eou> who is the best player for arsenal?
<no_ent>,<no_ent>,the best player for arsenal? <eou> i don’t like any of there players <eou> what do you have against arsenal?
<no_ent>,<no_ent>,against arsenal? <eou> no i am not a against arsenal... because am arsenal lover <eou> i am also arsenal lover...
<no_ent>,<no_ent>,"yes there is absolutely no reason to hate arsenal, but i have some errands to run. have a good day"
<no_ent>,<no_ent>,"hello, how long have you been playing soccar?"
barcelona,<no_ent>,"hello, how long have you been playing soccar? <eou> 10 years ago <eou> who is the barcelona's coach currently?"
<no_ent>,<no_ent>,10 years ago <eou> who is the barcelona's coach currently? <eou> valverde. <eou> how is the team doing under valverde?
<no_ent>,<no_ent>,"the team doing under valverde? <eou> in my opinion, not very well. <eou> is barcelona one of the top teams?"
<no_ent>,<no_ent>,"the top teams? <eou> yes, they are one of the top teams. <eou> will barca win the league this year?"
<no_ent>,<no_ent>,i really love the team paris sg
<no_ent>,<no_ent>,the team paris sg <eou> me too <eou> is the paris sg team better now with neymar joining the roster?
<no_ent>,<no_ent>,injury to get a penalty kick. <eou> paris sg has great strategy. why be upset because he played it well?
<no_ent>,<no_ent>,contract extension on monday (aug 13) keeping him at the club until 2023. <eou> what other cups did they win?
<no_ent>,<no_ent>,win? <eou> always the titles of france just want to win the chanpions <eou> when did neymar come to psg?
<no_ent>,<no_ent>,ac milan is going to win
<no_ent>,<no_ent>,"a, making it harder for ac milan. <eou> ac milan won its first fifa club world cup in december 2007."
<no_ent>,<no_ent>,in december 2007. <eou> seems like they did do that indeed <eou> how is ac milan ranked among other teams?
<no_ent>,<no_ent>,ac milan ranked among other teams? <eou> they have a very good reputation <eou> what year was ac milan formed?
<no_ent>,<no_ent>,"reputation <eou> what year was ac milan formed? <eou> december 16, 1899 <eou> who was the person who founded them?"
<no_ent>,<no_ent>,how many wins for chelsea this season in the premier league?
<no_ent>,<no_ent>,in the premier league? <eou> they have not played a game in the premier league this season. <eou> not started
<no_ent>,<no_ent>,season. <eou> not started <eou> chelsea signed jorginho from napoli. <eou> how do you think jorginho will do for them?
<no_ent>,<no_ent>,"do for them? <eou> he'll be very useful in midfield. <eou> for me, if i think that this tenporada jorginho"
<no_ent>,<no_ent>,"best players of chelsea <eou> do you think pedro, eden hazard, and mateo kovacic are the best players on chelsea?"
<no_ent>,<no_ent>,how is argentina doing?
<no_ent>,<no_ent>,the 2018 world cup in the group stage. <eou> do you think messi will play in the 2020 world cup?
<no_ent>,<no_ent>,"by 2022 (there is no 2020 world cup). <eou> i hope your wrong, i want to see him play more."
<no_ent>,<no_ent>,"<eou> argentina will win the next world cup, they wanted it very much an i think that they can win"
<no_ent>,<no_ent>,think that they can win <eou> argentina will always be winners <eou> will argentina win the world cup in 2022?
<no_ent>,<no_ent>,i love the team argentina
<no_ent>,<no_ent>,team argentina <eou> what was their most humiliating defeat? <eou> i think their last loss to france was pretty bad
<no_ent>,<no_ent>,"a world cup with argentina <eou> i think he does not win a world cup, but he still has possibilities"
<no_ent>,<no_ent>,"cup, but he still has possibilities <eou> what colour is argentina’s kit <eou> who is the best player for argentina?"
<no_ent>,<no_ent>,is the best player for argentina? <eou> messi is on the ball right now. <eou> argentina needs more better goalkeepers
<no_ent>,<no_ent>,did you see who juventus acquired this year?
<no_ent>,<no_ent>,"year? <eou> yes, juventus acquired an amazing player this year by the name of cristiano ronaldo. <eou> what a signing"
<no_ent>,<no_ent>,ronaldo will do great things for juventus. <eou> you think cristiano ronaldo can lead juventus to the champions league title?
<no_ent>,<no_ent>,"world. <eou> juventus have now more chances to win the champions, with cristiano, the entire team will be more solid."
<no_ent>,<no_ent>,i see juventus winning the champions league and ronaldo will make history. <eou> juventus is an amazing player compare ronaldo
<no_ent>,<no_ent>,it's a shame at how badly germany did in the last world cup
germany,<no_ent>,<eou> i think the same a penalty but we will see for the eurocopa? <eou> who is currently germany's goalie?
<no_ent>,<no_ent>,is currently germany's goalie? <eou> its manuel neuer the germany goalie <eou> who is the best young player for germany?
<no_ent>,<no_ent>,who is the best young player for germany? <eou> marius wold obvi <eou> think germany failed spectacularly in wc2018. agree?
<no_ent>,<no_ent>,think germany failed spectacularly in wc2018. agree? <eou> yes it was sad. <eou> is germany one of the best teams?
<no_ent>,<no_ent>,do you like croatia?
<no_ent>,<no_ent>,croatia? <eou> croatia has modric one of the best players in the world cup <eou> where is croatia currently ranked?
<no_ent>,<no_ent>,<eou> now at days they are the number 4 at fifa ranking <eou> is that higher or lower than england?
<no_ent>,<no_ent>,4 at fifa ranking <eou> is that higher or lower than england? <eou> higher <eou> who is croatia's record goalscorer?
<no_ent>,<no_ent>,england? <eou> higher <eou> who is croatia's record goalscorer? <eou> currently it's ivan perisic <eou> how old is ivan perisic?
<no_ent>,<no_ent>,how many british players does bvb dortmund have?
<no_ent>,<no_ent>,british players does bvb dortmund have? <eou> they have plenty of players <eou> can you give me a specific number?
<no_ent>,<no_ent>,"<eou> they have one british player, jadon sancho <eou> where are the others players from that play for bvb dortmund?"
<no_ent>,<no_ent>,that play for bvb dortmund? <eou> raphaël adelino josé guerreiro is portugese <eou> is guerreiro one of their best players?
<no_ent>,<no_ent>,their best players? <eou> no i personally dont think he is <eou> who is their best player in your opinion?
<no_ent>,<no_ent>,i like the team nigeria
<no_ent>,<no_ent>,i like the team nigeria <eou> i dont <eou> why don't you like this team?
<no_ent>,<no_ent>,<eou> why don't you like this team? <eou> they are not very structured <eou> how are they not well structured?
<no_ent>,<no_ent>,well structured? <eou> i think they have one of the best teams in africa. <eou> do you like nigerias kits?
<no_ent>,<no_ent>,do you like nigerias kits? <eou> i hate nigeria team because they are so bored <eou> what makes them boring
<no_ent>,<no_ent>,does argentina have a good team?
<no_ent>,<no_ent>,better this world cup but they could certainly have done worse <eou> they were not very good this world cup
<no_ent>,<no_ent>,good this world cup <eou> better luck next time <eou> do you think they are the best in south america?
<no_ent>,<no_ent>,"in south america? <eou> no, brazil is a better team than argentina <eou> why do you think brazil is better?"
<no_ent>,<no_ent>,argentina <eou> why do you think brazil is better? <eou> because they have consistently played better. <eou> maradona or messi?
<no_ent>,<no_ent>,love liverpool
<no_ent>,<no_ent>,love liverpool <eou> liverpool are a good team but i do not like them. <eou> i completely love liverpool
<no_ent>,<no_ent>,liverpool home game? <eou> i have never personally been to a liverpool home game. i hope to some day though.
<no_ent>,<no_ent>,"day though. <eou> what do you think about the liverpool fans? <eou> thy are like any fans, loud and obnoxious"
<no_ent>,<no_ent>,"like any fans, loud and obnoxious <eou> have you experienced it? <eou> can liverpool beat man city in 2018/19 season?"
<no_ent>,<no_ent>,this is one of my favorite team
<no_ent>,<no_ent>,of my favorite team <eou> maradona! best footballers ever. <eou> they wouldn't have gotten into the world cup without messi.
<no_ent>,<no_ent>,"cup without messi. <eou> yes, messi is their best player. <eou> i think argentina would be better off without messi"
<no_ent>,<no_ent>,"off without messi <eou> i do not think so, he always has something to give <eou> messi just the best"
<no_ent>,<no_ent>,give <eou> messi just the best <eou> is he your favorite player? <eou> yes it is i like your game
<no_ent>,<no_ent>,i love brazil
<no_ent>,<no_ent>,<eou> brazil is my favorite team because they have some great players. <eou> your favorite team is brazil or not
<no_ent>,<no_ent>,"or not <eou> how good is brazil? <eou> for me it is an excellent team, it has very good players"
<no_ent>,<no_ent>,"brazil will always reload the cupboard with new talent, it never ends. pele, ronaldihno, ronaldo,neymar. there's just way too many."
brazil,<no_ent>,"has always had excellent players, albeit one <eou> when was the first and last time brazil won the world cup?"
<no_ent>,<no_ent>,i completely love fc. porto
<no_ent>,<no_ent>,i completely love fc. porto <eou> dominating the portuguese league! <eou> what's their secret?
<no_ent>,<no_ent>,completely love fc. porto <eou> dominating the portuguese league! <eou> what's their secret? <eou> solid team play <eou> very good
fc. porto,<no_ent>,"<eou> fc porto, team from portugal roma signed spanish defender marcano from porto. <eou> what colour is porto home kit"
<no_ent>,<no_ent>,the collar and the altice logo on the front. <eou> how much does it cost to buy an imitation strip?
<no_ent>,<no_ent>,i am a big fan of this team
<no_ent>,<no_ent>,do more to be successful on the international stage. <eou> what would be one thing belgium's team could improve on?
<no_ent>,<no_ent>,need to play a more structured european game. <eou> who was the top scorer in the world cup for belgium?
<no_ent>,<no_ent>,who was the top scorer in the world cup for belgium? <eou> eden hazard <eou> was he belgium's best player?
<no_ent>,<no_ent>,<eou> yes he is a belgum's best player? <eou> who perform well in world cup eden hazard or romelu lukaku?
<no_ent>,<no_ent>,who won the croatian first football league for the 2017/18 season?
<no_ent>,<no_ent>,football league for the 2017/18 season? <eou> very good team <eou> who made the winning goal in the championship game?
<no_ent>,<no_ent>,i think el arabi hillel soudani scored. <eou> how do you think croatia will do in the next four years?
<no_ent>,<no_ent>,think croatia will do in the next four years? <eou> slightly better than this year <eou> they have better expectations
<no_ent>,<no_ent>,"they have better expectations <eou> what ""better expectations"" does croatia have? <eou> can croatia expect to be the best thisyear."
<no_ent>,<no_ent>,i love the team mexico
<no_ent>,<no_ent>,mexico is an ok team if you like their playing style. <eou> what do you mean by there play style?
<no_ent>,<no_ent>,they touch the ball i admire the mexicans in their game <eou> who is the most impressive player for mexico?
<no_ent>,<no_ent>,new hex record points total with a win against honduras on tuesday. <eou> i think mexico is a good team
<no_ent>,<no_ent>,"think mexico is a good team <eou> yes, if you like their mediocre offense. <eou> who is mexico's best player?"
<no_ent>,<no_ent>,what league does ac milan play in?
<no_ent>,<no_ent>,in? <eou> italian club team ac milan plays in the serie a <eou> what other teams does ac milan play?
<no_ent>,<no_ent>,what other teams does ac milan play? <eou> ac milan recently played against manchester united <eou> did they win it?
<no_ent>,<no_ent>,"italy. for the women's team, see a.c. milan women. for other sports teams called milan, see milan (disambiguation) § sports."
<no_ent>,<no_ent>,"other sports teams called milan, see milan (disambiguation) § sports. <eou> what’s ac milan’s ground called <eou> stadium giuseppe meazza"
<no_ent>,<no_ent>,i don't think dortmund is doing well now
<no_ent>,<no_ent>,i think bvb dortmund will turn things around. <eou> what does bvb dortmund need to do to turn things around?
<no_ent>,<no_ent>,<eou> bvb needs to let less goals in and score more goals <eou> i think i should score more goals
<no_ent>,<no_ent>,<eou> how did bvb do in their match against benfica? <eou> is marco reus a good player for bvb dortmund?
<no_ent>,<no_ent>,believe that he is the best in the team. <eou> bvb dortmund's best player is marco reus i am right?
<no_ent>,<no_ent>,who is the founder of this team?
<no_ent>,<no_ent>,"<eou> no specific founder, like most spanish clubs they were started by university students. <eou> what is your team name?"
<no_ent>,<no_ent>,were started by university students. <eou> what is your team name? <eou> athleti <eou> who is their best player now?
<no_ent>,<no_ent>,athleti <eou> who is their best player now? <eou> luis aragonés <eou> you don't think greizmann is their best player?
atletico madrid,<no_ent>,think greizmann is their best player? <eou> i think he's one of their best. <eou> what are their team colors?
<no_ent>,<no_ent>,which team beat real madrid in uefa super cup 2018?
<no_ent>,<no_ent>,madrid in uefa super cup 2018? <eou> the atlético de madrid <eou> how often has atletico madrid beaten real madrid?
<no_ent>,<no_ent>,atletico madrid beaten real madrid? <eou> every 7 years or so. <eou> when is the next time madrid will play
<no_ent>,<no_ent>,is the next time madrid will play <eou> i have to look up <eou> who do you think will win?
<no_ent>,<no_ent>,who do you think will win? <eou> difficult to say actually <eou> who do who think will score first ?
<no_ent>,<no_ent>,i'm not a big fan of f.c. porto. how about you?
<no_ent>,<no_ent>,about you? <eou> i like iker casillas. <eou> f.c porto is my home team so i have to love them.
<no_ent>,<no_ent>,have to love them. <eou> where are they from? <eou> portugal although in a lot if turmoil at the moment.
<no_ent>,<no_ent>,with fc porto. <eou> the have a great tradition but 9 players terminated their contracts after a fight with supporters.
<no_ent>,<no_ent>,contracts after a fight with supporters. <eou> what caused the fight? <eou> can you confirm the fight was about money?
<no_ent>,<no_ent>,are there any facts you can confirm in this teams term oil or are you just making the team statement?
<no_ent>,<no_ent>,i think portugal was lucky winning the european championship in 2016? what do you think?
<no_ent>,<no_ent>,2016? what do you think? <eou> good team <eou> who do you think has a better team mexico or portugal?
<no_ent>,<no_ent>,better players but mexico works better as a team. <eou> what do you think will happen when they next meet?
<no_ent>,<no_ent>,next meet? <eou> i think that portugal would win tighly <eou> do you think the team heavily relies on ronaldo?
<no_ent>,<no_ent>,captain. <eou> you do not have to win by ronaldo there are many good players and you have many abilities
<no_ent>,<no_ent>,is bvb dortmund able to be a serious competitor for the championship?
<no_ent>,<no_ent>,is bvb dortmund able to be a serious competitor for the championship? <eou> very good team <eou> good side
<no_ent>,<no_ent>,good enough to compete with bayern. <eou> i think they could be bayern this year or next for the title.
<no_ent>,<no_ent>,"bayern are very strong though. <eou> this is a very high level bayer, dormuth has to work hard to win"
<no_ent>,<no_ent>,work hard to win <eou> they will win in future <eou> who should be the next manager for bvb dortmund?
<no_ent>,<no_ent>,when did italy last win the world cup?
<no_ent>,<no_ent>,when did italy last win the world cup? <eou> 2006 <eou> how many times have italy won the world cup?
<no_ent>,<no_ent>,times have italy won the world cup? <eou> 4 <eou> do you think italy will win the next world cup?
<no_ent>,<no_ent>,"not think it's possible <eou> i do believe that it is possible, you just have to fight to achieve it"
<no_ent>,<no_ent>,to achieve it <eou> if you fight to achieve it you can win. <eou> italy might be able to win
<no_ent>,<no_ent>,is james rodríguez colombia's best player?
<no_ent>,<no_ent>,is james rodríguez colombia's best player? <eou> james is probably the best from colombia. <eou> is columbia a good team?
<no_ent>,<no_ent>,"a good team? <eou> no columbia is not a good team <eou> i thought they were, didn't they do well?"
<no_ent>,<no_ent>,"i thought they were, didn't they do well? <eou> they did okay. <eou> does colombia have a womens' football team?"
<no_ent>,<no_ent>,okay. <eou> does colombia have a womens' football team? <eou> yes columbia does. <eou> will colombia qualify for next wc?
<no_ent>,<no_ent>,who was manager when real madrid achived their tenth european cup?
<no_ent>,<no_ent>,cup? <eou> i believe it was carlo ancelotti that won madrid their 10th title. <eou> who was there greatest manager
<no_ent>,<no_ent>,"won madrid their 10th title. <eou> who was there greatest manager <eou> ancelotti, probably. <eou> why is ancelotti the best?"
<no_ent>,<no_ent>,"the players give him their best performances every time. <eou> it was totally ancelotti, for his good style of play"
<no_ent>,<no_ent>,"was totally ancelotti, for his good style of play <eou> yes it was ancelotti. <eou> who was the previous manger?"
<no_ent>,<no_ent>,will italy qualify for world cup in 2022?
<no_ent>,<no_ent>,will italy qualify for world cup in 2022? <eou> very good team <eou> is there a reason they wouldn't?
<no_ent>,<no_ent>,1958. anything can happen in sports! <eou> i think italy has a good chance if they keep working on strategy.
<no_ent>,<no_ent>,"– in the european union (light green) – [legend]. capital and largest city, rome · 41°54′n 12°29′e﻿ / ﻿41.900°n ..."
<no_ent>,<no_ent>,"﻿41.900°n ... <eou> they should they have fancy footwork <eou> if it's a great team, we'll see it in qatar"
<no_ent>,<no_ent>,who were they against?
<no_ent>,<no_ent>,who were they against? <eou> real madrid <eou> can they beat madrid?
